,Area,Location_A,Quantity (sq.km),Sentinel pixels,Lat,Lon,tile,EventDate,Product_title,Image_date,CloudCover,id,DaysDiff
84,Safaniyah,Estimated,17.9,179,,,39RTM,8/4/2012,0,0,0,0,0
194,Safaniyah,Estimated,2.19,21.9,,,39RTM,10/1/2012,0,0,0,0,0
221,Safaniyah,Estimated,298,2980,,,39RTM,3/26/2013,0,0,0,0,0
291,Safaniyah,Estimated,272,2720,,,39RTM,5/8/2013,0,0,0,0,0
163,Safaniyah,Estimated,0.023,0.23,,,39RTM,5/10/2013,0,0,0,0,0
202,Safaniyah,Estimated,200,2000,,,39RTM,11/12/2013,0,0,0,0,0
44,Safaniyah,Estimated,0.1,1,,,39RTM,12/31/2013,0,0,0,0,0
224,Safaniyah,Estimated,5.5,55,,,39RTM,1/5/2014,0,0,0,0,0
272,Safaniyah,Estimated,6.1,61,,,39RTM,1/14/2014,0,0,0,0,0
132,Safaniyah,Estimated,13.8,138,,,39RTM,1/16/2014,0,0,0,0,0
205,Safaniyah,Estimated,0.004,0.04,,,39RTM,4/4/2014,0,0,0,0,0
281,Safaniyah,Estimated,0.003,0.03,,,39RTM,4/7/2014,0,0,0,0,0
290,Safaniyah,Estimated,0.26,2.6,,,39RTM,4/13/2014,0,0,0,0,0
296,Safaniyah,Estimated,0.592,5.92,,,39RTM,4/17/2014,0,0,0,0,0
